Cumulative Return,Volatility (Standard Deviation of Returns),Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Alpha,Beta,VaR (95%),iteration,strategy,rl_model,data_group
-0.21178100907974412,0.17861906169412134,-0.5530035537470683,-0.8241147041244774,-0.3379506094639441,-0.29228228361681485,,,-0.01795461504334308,32,baseline,PPO,Group1
-0.20198670798764112,0.16860272536155385,-0.5617927443596754,-0.8312062476315463,-0.298258645550975,-0.3175760005629059,,,-0.018416249735092,32,baseline,PPO,Group2
-0.22950998196464237,0.17662527116415003,-0.6191685599667855,-0.919834873101121,-0.345742800387354,-0.316306846239248,,,-0.01899231641087623,32,baseline,A2C,Group1
-0.15127141213639173,0.16789077829006996,-0.39475700885344045,-0.5992878975862219,-0.2789534984189283,-0.2375882067352019,,,-0.016607813281868583,32,baseline,A2C,Group2
0.022974606406537205,0.18085099241375893,0.15568455433096004,0.23627774270817978,-0.2662594288742576,0.10574538626966175,,,-0.017660368003168326,32,baseline,DDPG,Group1
0.041284942430486554,0.14528061334598302,0.21620188495773102,0.3220626162683944,-0.17737816991053312,0.17707896337559195,,,-0.013786754756571772,32,baseline,DDPG,Group2
-0.18188945579376073,0.1759917762163329,-0.4667530599838271,-0.7060339138807419,-0.32727730528866117,-0.250994183689303,,,-0.017296657793505393,32,naive,PPO,Group1
-0.14502754861099412,0.17169428652945148,-0.3624194180002083,-0.538028772622427,-0.30272715504643477,-0.20554926229997497,,,-0.016705219570866885,32,naive,PPO,Group2
-0.20270448287902385,0.1788087794314526,-0.523154133083078,-0.7993709205631329,-0.3356643173376414,-0.27868482635587793,,,-0.018364620542135265,32,naive,A2C,Group1
-0.16513392234897648,0.16979312138259653,-0.43405512560144655,-0.6498766787934046,-0.2779697885566744,-0.26513519692431686,,,-0.01712668904470315,32,naive,A2C,Group2
0.022974606406537205,0.18085099241375893,0.15568455433096004,0.23627774270817978,-0.2662594288742576,0.10574538626966175,,,-0.017660368003168326,32,naive,DDPG,Group1
0.041284942430486554,0.14528061334598302,0.21620188495773102,0.3220626162683944,-0.17737816991053312,0.17707896337559195,,,-0.013786754756571772,32,naive,DDPG,Group2
-0.250986565457837,0.1797050126159995,-0.6760138882958228,-1.0192933261836237,-0.3506917375530312,-0.34640988456827043,,,-0.018137171198957212,32,ewc,PPO,Group1
-0.14509823724650778,0.17028961690642846,-0.36686045483768903,-0.5352032374013808,-0.27028705774456757,-0.2311339907790453,,,-0.01727478469237907,32,ewc,PPO,Group2
-0.2329104441010744,0.17849584750567846,-0.6220906030437788,-0.9158884394010477,-0.3417109784117996,-0.32495470274824384,,,-0.018394763030980275,32,ewc,A2C,Group1
-0.04381770715732011,0.16726314475119913,-0.05128961227693318,-0.07766697813910468,-0.22418972260386477,-0.038266079920479215,,,-0.016173960085806648,32,ewc,A2C,Group2
0.022974606406537205,0.18085099241375893,0.15568455433096004,0.23627774270817978,-0.2662594288742576,0.10574538626966175,,,-0.017660368003168326,32,ewc,DDPG,Group1
0.041284942430486554,0.14528061334598302,0.21620188495773102,0.3220626162683944,-0.17737816991053312,0.17707896337559195,,,-0.013786754756571772,32,ewc,DDPG,Group2
-0.24441543802902393,0.17784387021687934,-0.6629421328607971,-0.9873555723959877,-0.34375820434944543,-0.3429741985676246,,,-0.017958525242623303,32,replay,PPO,Group1
-0.15821999872599568,0.17015856595072928,-0.41008290026747696,-0.5934414372535383,-0.26263303448642894,-0.2656905608499738,,,-0.017597156891692792,32,replay,PPO,Group2
-0.20801444846048778,0.17827525327542065,-0.5422235049859033,-0.8145731514371934,-0.35347550776109,-0.27347024209830967,,,-0.01787470390394023,32,replay,A2C,Group1
-0.1169673753643743,0.16889166249418827,-0.27997528828520174,-0.41281525630523475,-0.24719801841969857,-0.1912858856962799,,,-0.01628255381156181,32,replay,A2C,Group2
0.022974606406537205,0.18085099241375893,0.15568455433096004,0.23627774270817978,-0.2662594288742576,0.10574538626966175,,,-0.017660368003168326,32,replay,DDPG,Group1
0.041284942430486554,0.14528061334598302,0.21620188495773102,0.3220626162683944,-0.17737816991053312,0.17707896337559195,,,-0.013786754756571772,32,replay,DDPG,Group2
